schema	baseline_version	example	fqbn	core	toolchain	flash_bytes	flash_budget_bytes	static_ram_bytes	static_ram_budget_bytes
1	1	Lesson049LocalIdentityRegistry	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	7026	16384	1113	1280
1	1	Lesson050BoundedHomingPolicy	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	8272	16384	574	1024
1	2	Lesson051InertPartsCarousel	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	26014	28672	1933	2048
1	1	Lesson052CapturedIrEvidence	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5530	20480	1096	3584
1	1	Lesson053KnownIrEmission	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4854	20480	276	1536
1	1	Lesson054IrTranslator	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	16162	32768	1343	4096
1	1	Lesson055ClueConstraintModel	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	8596	20480	1261	2048
1	1	Lesson056FaultAwareOperatorPanel	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	16028	28672	1454	3072
1	1	Lesson057InertEscapeConsole	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	32332	40960	3655	4608
1	2	Lesson058MultiplexedDigits	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6540	12288	781	1024
1	1	Lesson059Max7219Presentation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5480	16384	640	1024
1	1	Lesson060DualDisplayTimingDesk	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	19518	32768	1348	2048
1	1	Lesson061ResistiveProbeObservation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5662	8192	624	768
1	1	Lesson062ThermalRadiantObservation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	10076	12288	1133	1536
1	1	Lesson063MuseumCaseMonitor	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	21348	24576	1405	2048
1	1	Lesson064OwnedSingleWireTransactions	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	10390	14336	735	1024
1	1	Lesson065Qualified18B20ProbeSet	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	13662	16384	1438	1536
1	1	Lesson066ThermalGradientMapper	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	16662	18432	2210	2560
1	1	Lesson067InertialRecordNormalization	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5852	8192	632	1024
1	1	Lesson068InertialRecordQualification	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	16702	24576	766	1024
1	1	Lesson069InterchangeableMotionRecorder	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	39428	40960	2347	3072
1	1	Lesson070ThresholdDescriptor	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4564	8192	684	1024
